Timestamp,Hostname,Usuario,Cidade,IP Publico,Provedor,Uso_CPU(%),Uso_RAM(%),Uso_Disco(%),Carga_Computador(0-100),Download(Mbps),Upload(Mbps),Latencia_Speedtest(ms),Saude_Meet(0-100),Latencia_Meet_Media(ms),Jitter_Meet(ms),Perda_Meet(%),Hop_IP_01,Hop_LAT_01(ms),Hop_IP_02,Hop_LAT_02(ms),Hop_IP_03,Hop_LAT_03(ms),Hop_IP_04,Hop_LAT_04(ms),Hop_IP_05,Hop_LAT_05(ms),Hop_IP_06,Hop_LAT_06(ms),Hop_IP_07,Hop_LAT_07(ms),Hop_IP_08,Hop_LAT_08(ms),Hop_IP_09,Hop_LAT_09(ms),Hop_IP_10,Hop_LAT_10(ms),Hop_IP_11,Hop_LAT_11(ms),Hop_IP_12,Hop_LAT_12(ms),Hop_IP_13,Hop_LAT_13(ms),Hop_IP_14,Hop_LAT_14(ms),Hop_IP_15,Hop_LAT_15(ms),Hop_IP_16,Hop_LAT_16(ms),Hop_IP_17,Hop_LAT_17(ms),Hop_IP_18,Hop_LAT_18(ms),Hop_IP_19,Hop_LAT_19(ms),Hop_IP_20,Hop_LAT_20(ms),Hop_IP_21,Hop_LAT_21(ms),Hop_IP_22,Hop_LAT_22(ms),Hop_IP_23,Hop_LAT_23(ms),Hop_IP_24,Hop_LAT_24(ms),Hop_IP_25,Hop_LAT_25(ms),Hop_IP_26,Hop_LAT_26(ms),Hop_IP_27,Hop_LAT_27(ms),Hop_IP_28,Hop_LAT_28(ms),Hop_IP_29,Hop_LAT_29(ms),Hop_IP_30,Hop_LAT_30(ms)
2025-10-27 22:28:18,MacBook-Pro-de-Administrador.local,root,N/A,179.156.58.214,Claro NET,2.10,69.10,5.40,26,174.09,33.24,31.11,63,109.66,155.39,0.0,192.168.1.1,19.44,192.168.0.1,9.79,10.13.0.1,17.26,177.195.26.9,16.67,200.244.80.14,34.07,200.244.211.235,65.15,200.244.18.8,68.36,201.39.52.58,63.36,142.250.214.91,62.55,142.251.48.147,72.06,142.250.78.174 [DESTINO],70.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27 23:00:37,MacBook-Pro-de-Administrador.local,root,Erro,0.0.0.0,Erro,5.40,69.90,5.40,27,0.00,0.00,0.00,96,71.27,15.77,0.0,192.168.1.1,16.51,192.168.0.1,10.01,10.13.0.1,20.87,177.195.26.9,17.79,200.244.80.14,35.14,200.244.211.235,65.98,200.244.18.8,66.99,201.39.52.58,62.96,142.250.214.91,65.08,142.251.48.147,71.08,142.250.78.174 [DESTINO],67.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27 23:01:09,MacBook-Pro-de-Administrador.local,root,Erro,0.0.0.0,Erro,4.00,70.50,5.40,27,0.00,0.00,0.00,96,70.13,11.53,0.0,192.168.1.1,16.28,192.168.0.1,9.84,10.13.0.1,17.40,177.195.26.9,17.45,200.244.80.14,34.64,200.244.211.235,66.27,200.244.18.8,70.75,201.39.52.58,70.17,142.250.227.145,77.52,142.251.48.165,80.59,142.250.218.238 [DESTINO],74.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27 23:04:08,MacBook-Pro-de-Administrador.local,lucasdantas,Erro,0.0.0.0,Erro,8.70,68.60,5.40,28,0.00,0.00,0.00,95,72.65,14.14,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0
2025-10-27 23:04:20,MacBook-Pro-de-Administrador.local,lucasdantas,Erro,0.0.0.0,Erro,43.30,68.70,5.40,39,0.00,0.00,0.00,95,73.68,14.84,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0
2025-10-27 23:09:16,MacBook-Pro-de-Administrador.local,lucasdantas,N/A,179.156.58.214,Claro NET,8.30,68.20,5.40,27,1889.00,291.31,32.95,96,72.39,16.35,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0
